"","x"
"1","4"
"2","0"
"3","0"
"4","7"
"5","7"
"6","5"
"7","3"
"8","9"
"9","2"
"10","7"
"11","8"
"12","2"
"13","3"
"14","9"
"15","7"
"16","9"
"17","4"
"18","2"
"19","1"
"20","2"
"21","4"
"22","7"
"23","9"
"24","2"
"25","1"
"26","6"
"27","1"
"28","4"
"29","6"
"30","4"
"31","8"
"32","8"
"33","9"
"34","6"
"35","4"
"36","5"
"37","4"
"38","9"
"39","8"
"40","9"
"41","5"
"42","4"
"43","2"
"44","7"
"45","5"
"46","9"
"47","2"
"48","2"
"49","8"
"50","0"
"51","0"
"52","2"
"53","9"
"54","4"
"55","7"
"56","1"
"57","4"
"58","2"
"59","7"
"60","6"
"61","0"
"62","4"
"63","8"
"64","5"
"65","7"
"66","7"
"67","2"
"68","1"
"69","3"
"70","4"
"71","0"
"72","1"
"73","8"
"74","6"
"75","9"
"76","2"
"77","4"
"78","8"
"79","7"
"80","3"
"81","2"
"82","8"
"83","4"
"84","1"
"85","5"
"86","9"
"87","6"
"88","7"
"89","0"
"90","8"
"91","2"
"92","2"
"93","0"
"94","6"
"95","0"
"96","7"
"97","7"
"98","1"
"99","3"
"100","9"
"101","8"
"102","6"
"103","1"
"104","8"
"105","1"
"106","8"
"107","7"
"108","1"
"109","3"
"110","7"
"111","3"
"112","3"
"113","2"
"114","5"
"115","7"
"116","4"
"117","2"
"118","2"
"119","5"
"120","5"
"121","8"
"122","1"
"123","4"
"124","6"
"125","3"
"126","2"
"127","9"
"128","2"
"129","0"
"130","5"
"131","6"
"132","0"
"133","0"
"134","0"
"135","4"
"136","9"
"137","0"
"138","6"
"139","7"
"140","8"
"141","5"
"142","4"
"143","9"
"144","2"
"145","6"
"146","3"
"147","6"
"148","8"
"149","7"
"150","0"
"151","9"
"152","2"
"153","7"
"154","5"
"155","8"
"156","4"
"157","3"
"158","9"
"159","9"
"160","7"
"161","2"
"162","5"
"163","6"
"164","0"
"165","2"
"166","0"
"167","4"
"168","6"
"169","2"
"170","7"
"171","7"
"172","2"
"173","4"
"174","2"
"175","0"
"176","6"
"177","9"
"178","0"
"179","0"
"180","9"
"181","4"
"182","1"
"183","4"
"184","2"
"185","9"
"186","7"
"187","3"
"188","1"
"189","5"
"190","3"
"191","8"
"192","4"
"193","6"
"194","1"
"195","9"
"196","0"
"197","8"
"198","7"
"199","4"
"200","8"
"201","2"
"202","8"
"203","2"
"204","0"
"205","6"
"206","4"
"207","6"
"208","9"
"209","9"
"210","4"
"211","3"
"212","3"
"213","0"
"214","6"
"215","9"
"216","2"
"217","9"
"218","5"
"219","4"
"220","4"
"221","9"
"222","4"
"223","1"
"224","9"
"225","5"
"226","5"
"227","4"
"228","7"
"229","8"
"230","2"
"231","2"
"232","7"
"233","1"
"234","6"
"235","2"
"236","2"
"237","2"
"238","1"
"239","4"
"240","1"
"241","2"
"242","4"
"243","1"
"244","1"
"245","5"
"246","0"
"247","0"
"248","5"
"249","2"
"250","5"
"251","8"
"252","2"
"253","8"
"254","7"
"255","2"
"256","4"
"257","1"
"258","7"
"259","6"
"260","2"
"261","3"
"262","0"
"263","4"
"264","5"
"265","1"
"266","2"
"267","9"
"268","1"
"269","9"
"270","0"
"271","5"
"272","2"
"273","5"
"274","9"
"275","4"
"276","4"
"277","3"
"278","2"
"279","2"
"280","5"
"281","6"
"282","5"
"283","2"
"284","7"
"285","2"
"286","2"
"287","1"
"288","0"
"289","7"
"290","6"
"291","9"
"292","1"
"293","3"
"294","5"
"295","1"
"296","2"
"297","2"
"298","0"
"299","6"
"300","3"
"301","7"
"302","1"
"303","9"
"304","3"
"305","9"
"306","2"
"307","4"
"308","6"
"309","5"
"310","1"
"311","8"
"312","2"
"313","0"
"314","6"
"315","8"
"316","9"
"317","8"
"318","0"
"319","4"
"320","8"
"321","1"
"322","0"
"323","9"
"324","4"
"325","7"
"326","9"
"327","4"
"328","5"
"329","6"
"330","2"
"331","5"
"332","9"
"333","6"
"334","0"
"335","8"
"336","0"
"337","9"
"338","7"
"339","9"
"340","2"
"341","1"
"342","6"
"343","1"
"344","1"
"345","6"
"346","4"
"347","5"
"348","7"
"349","1"
"350","1"
"351","1"
"352","4"
"353","9"
"354","3"
"355","1"
"356","2"
"357","8"
"358","9"
"359","0"
"360","9"
"361","2"
"362","8"
"363","3"
"364","0"
"365","3"
"366","0"
"367","3"
"368","3"
"369","3"
"370","0"
"371","5"
"372","1"
"373","7"
"374","4"
"375","5"
"376","1"
"377","6"
"378","0"
"379","2"
"380","8"
"381","5"
"382","6"
"383","3"
"384","9"
"385","4"
"386","0"
"387","6"
"388","1"
"389","0"
"390","4"
"391","0"
"392","3"
"393","6"
"394","2"
"395","6"
"396","6"
"397","6"
"398","0"
"399","6"
"400","0"
"401","8"
"402","0"
"403","3"
"404","6"
"405","4"
"406","2"
"407","0"
"408","4"
"409","7"
"410","2"
"411","2"
"412","5"
"413","9"
"414","0"
"415","8"
"416","7"
"417","9"
"418","1"
"419","2"
"420","5"
"421","2"
"422","7"
"423","7"
"424","4"
"425","5"
"426","2"
"427","0"
"428","9"
"429","8"
"430","2"
"431","4"
"432","1"
"433","9"
"434","4"
"435","6"
"436","8"
"437","8"
"438","2"
"439","4"
"440","8"
"441","0"
"442","7"
"443","8"
"444","0"
"445","3"
"446","4"
"447","3"
"448","9"
"449","3"
"450","6"
"451","2"
"452","2"
"453","2"
"454","8"
"455","9"
"456","3"
"457","7"
"458","0"
"459","4"
"460","4"
"461","5"
"462","6"
"463","5"
"464","7"
"465","0"
"466","5"
"467","9"
"468","7"
"469","9"
"470","9"
"471","2"
"472","5"
"473","4"
"474","2"
"475","6"
"476","7"
"477","3"
"478","3"
"479","2"
"480","4"
"481","7"
"482","7"
"483","8"
"484","7"
"485","8"
"486","1"
"487","6"
"488","9"
"489","0"
"490","6"
"491","8"
"492","7"
"493","3"
"494","2"
"495","5"
"496","7"
"497","6"
"498","1"
"499","1"
"500","1"
"501","5"
"502","7"
"503","4"
"504","7"
"505","2"
"506","2"
"507","4"
"508","8"
"509","1"
"510","9"
